rank,username,userId,occurrences,points
1,"auriesce",173676779792236544,3,3
2,"c_me_10",1416468073740898475,3,3
3,"keithid",709600232442429541,3,3
4,".azou",204765867001511937,2,2
5,"aethella",428355417475776522,2,2
6,"ganimomu",293888955856846848,2,2
7,"kirito._.18_",669235183752577045,2,2
8,"theelitekat",244090047362629633,2,2
9,"billu1503",727149292720095334,1,1
10,"heman0003",1318473958051549187,1,1
11,"imsteveehere",1497736760048881856,1,1
12,"jmmy8535",731200433418403870,1,1
13,"litd",469320302443233300,1,1
14,"lowkhy",561430703883943936,1,1
15,"o0game",919448525979394048,1,1
16,"parsity",761512178381094932,1,1
17,"udmplays",290370358400385024,1,1
18,"vornofakind_69",1031192705595879445,1,1
19,"yikkuiki",503921350826786827,1,1
